local-fog-node2-1,158.58%,0.26%,6.57kB / 0B
local-fog-node1-1,171.84%,0.38%,6.57kB / 0B
local-fog-node3-1,181.92%,0.33%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,114.33%,0.32%,6.05kB / 0B
local-fog-cloud-1,161.05%,0.32%,6.75kB / 0B
local-fog-node2-1,158.58%,0.26%,6.57kB / 0B
local-fog-node1-1,171.84%,0.38%,6.57kB / 0B
local-fog-node3-1,181.92%,0.33%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,114.33%,0.32%,6.05kB / 0B
local-fog-cloud-1,142.79%,0.25%,6.75kB / 0B
local-fog-node2-1,147.86%,0.42%,6.57kB / 0B
local-fog-node1-1,159.28%,0.39%,6.57kB / 0B
local-fog-node3-1,144.26%,0.40%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,193.65%,0.28%,6.05kB / 0B
local-fog-cloud-1,142.79%,0.25%,6.75kB / 0B
local-fog-node2-1,147.86%,0.42%,6.57kB / 0B
local-fog-node1-1,159.28%,0.39%,6.57kB / 0B
local-fog-node3-1,144.26%,0.40%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,193.65%,0.28%,6.05kB / 0B
local-fog-cloud-1,156.49%,0.27%,6.75kB / 0B
local-fog-node2-1,135.75%,0.41%,6.57kB / 0B
local-fog-node1-1,146.02%,0.38%,6.57kB / 0B
local-fog-node3-1,140.87%,0.39%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,196.20%,0.40%,6.05kB / 0B
local-fog-cloud-1,156.49%,0.27%,6.75kB / 0B
local-fog-node2-1,135.75%,0.41%,6.57kB / 0B
local-fog-node1-1,146.02%,0.38%,6.57kB / 0B
local-fog-node3-1,140.87%,0.39%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,196.20%,0.40%,6.05kB / 0B
local-fog-cloud-1,106.81%,0.27%,6.75kB / 0B
local-fog-node2-1,120.16%,0.34%,6.57kB / 0B
local-fog-node1-1,140.83%,0.35%,6.57kB / 0B
local-fog-node3-1,135.34%,0.33%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,182.82%,0.44%,6.05kB / 0B
local-fog-cloud-1,106.81%,0.27%,6.75kB / 0B
local-fog-node2-1,120.16%,0.34%,6.57kB / 0B
local-fog-node1-1,140.83%,0.35%,6.57kB / 0B
local-fog-node3-1,135.34%,0.33%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,182.82%,0.44%,6.05kB / 0B
local-fog-cloud-1,0.00%,0.27%,7.96kB / 0B
local-fog-node2-1,37.89%,0.27%,7.58kB / 188B
local-fog-node1-1,40.16%,0.27%,7.64kB / 134B
local-fog-node3-1,43.90%,0.27%,7.58kB / 188B
local-fog_client_run_238cb0a607ec,93.14%,0.28%,6.56kB / 694B
local-fog-cloud-1,0.00%,0.27%,7.96kB / 0B
local-fog-node2-1,37.89%,0.27%,7.58kB / 188B
local-fog-node1-1,40.16%,0.27%,7.64kB / 134B
local-fog-node3-1,43.90%,0.27%,7.58kB / 188B
local-fog_client_run_238cb0a607ec,93.14%,0.28%,6.56kB / 694B
local-fog-cloud-1,4.47%,0.34%,8.51MB / 700kB
local-fog-node2-1,0.39%,0.28%,10kB / 3.47kB
local-fog-node1-1,13.96%,0.30%,20.9MB / 20.9MB
local-fog-node3-1,8.86%,0.30%,11.4MB / 11.4MB
