host,startTime,requestDuration,overallDuration,succes
192.168.96.4,2023-01-22T08:50:46Z,7201,7801,true
192.168.96.4,2023-01-22T08:50:46Z,6693,7319,true
192.168.96.5,2023-01-22T08:50:46Z,5870,6443,true
192.168.96.5,2023-01-22T08:50:46Z,5964,6577,true
192.168.96.5,2023-01-22T08:50:46Z,6194,6749,true
192.168.96.4,2023-01-22T08:50:46Z,7056,7712,true
192.168.96.5,2023-01-22T08:50:46Z,7841,8512,true
192.168.96.5,2023-01-22T08:50:46Z,6390,7020,true
192.168.96.5,2023-01-22T08:50:46Z,6066,6666,true
192.168.96.5,2023-01-22T08:50:46Z,6075,6679,true
192.168.96.5,2023-01-22T08:50:46Z,7949,8553,true
192.168.96.5,2023-01-22T08:50:47Z,5746,6314,true
192.168.96.5,2023-01-22T08:50:47Z,6346,6937,true
192.168.96.5,2023-01-22T08:50:47Z,7107,7703,true
192.168.96.5,2023-01-22T08:50:47Z,8446,9057,true
192.168.96.5,2023-01-22T08:50:47Z,6286,6927,true
192.168.96.5,2023-01-22T08:50:47Z,6433,7036,true
192.168.96.5,2023-01-22T08:50:47Z,7331,7949,true
192.168.96.4,2023-01-22T08:50:47Z,8244,8877,true
192.168.96.5,2023-01-22T08:50:47Z,5833,6453,true
192.168.96.5,2023-01-22T08:50:47Z,5825,6425,true
192.168.96.5,2023-01-22T08:50:47Z,6028,6630,true
192.168.96.5,2023-01-22T08:50:47Z,10024,10627,true
192.168.96.5,2023-01-22T08:50:47Z,6460,7043,true
192.168.96.5,2023-01-22T08:50:47Z,6063,6671,true
192.168.96.5,2023-01-22T08:50:47Z,6997,7576,true
192.168.96.5,2023-01-22T08:50:47Z,6399,7066,true
192.168.96.5,2023-01-22T08:50:47Z,5964,6590,true
192.168.96.5,2023-01-22T08:50:47Z,5968,6580,true
192.168.96.5,2023-01-22T08:50:47Z,8907,9576,true
192.168.96.5,2023-01-22T08:50:47Z,7146,7763,true
192.168.96.5,2023-01-22T08:50:47Z,6081,6624,true
